id,latitude,longitude
relation/11524276,9.9733414,-84.1136012
relation/16603686,37.7677305,-122.4553324
way/35095789,37.783675,-122.4129187
way/86124611,37.743731,-122.4814595
way/158827841,37.773285,-122.4073909
way/161385043,37.7801821,-122.4324666
way/162056245,37.7987378,-122.4099318
way/162518019,37.7800121,-122.4647449
way/218159535,37.7717097,-122.4006112
way/260327749,37.7629272,-122.4219806
way/272123772,37.7442674,-122.4414909
node/368171295,37.7751902,-122.404056
node/368171321,37.7297287,-122.397782
node/368171323,37.7246336,-122.446302
node/368171326,37.7677915,-122.4552017
way/473391873,-25.4346544,-54.6419633
way/481427452,9.991287,-84.1494532
way/484149290,9.0009855,-79.5101163
way/560093498,10.4355205,-75.5155853
way/587277745,9.9790619,-84.1189141
way/884242425,-39.0093607,-68.4269911
way/907847194,0.3567618,-78.1180037
way/907847239,0.357642,-78.1181093
way/907847256,0.3559486,-78.1149663
node/979914719,4.6191468,-74.1063095
way/1137019440,-31.3220245,-64.3010345
node/1236667380,0.3582281,-78.1183556
node/1484054748,37.7671416,-122.3916146
node/1746658220,8.5079323,125.9741807
node/2111521181,8.2422924,-80.9735001
node/2585226995,16.798703,-89.9356813
node/2645897310,14.3152967,120.9156702
node/3470320915,10.4262026,-75.5193016
node/3534945478,37.7724625,-122.3890706
node/3534945479,37.7722356,-122.3890443
node/4020822708,8.5084616,125.9810677
node/4549463000,5.9649842,-75.1024861
node/6462703895,43.256351,-2.9267781
node/6462950216,-25.4345547,-54.6422384
node/6462950836,-25.5895418,-54.6023467
node/9847973245,14.3192288,120.9141381
node/11031942760,10.6451591,124.3821502
node/12799041300,37.7845106,-122.4073746
